Rating,maincateg,platform,price1,actprice1,norating1,noreviews1,star_5f,star_4f,star_3f,star_2f,star_1f,fulfilled1
4.1,1,1,831,1695,14.0,0.0,7.0,4.0,1.0,1,1,1
3.8,0,1,499,999,21.0,4.0,13.0,2.0,0.0,0,6,0
4.1,1,1,399,999,180.0,23.0,100.0,32.0,22.0,10,16,0
3.7,0,0,564,1597,79.0,40.0,15.0,11.0,10.0,20,44,1
3.9,1,1,199,499,369.0,46.0,197.0,50.0,54.0,25,43,0
4.1,0,1,759,999,11780.0,1748.0,6343.0,2501.0,1268.0,644,1024,1
4.0,0,1,782,999,3180.0,475.0,1596.0,705.0,380.0,162,337,1
4.0,0,1,658,999,1695.0,266.0,891.0,359.0,204.0,65,176,0
4.3,0,1,400,999,18.0,3.0,11.0,5.0,0.0,1,1,1
4.1,0,1,819,999,26640.0,3667.0,14148.0,60.0,34.0,1113,2094,1
4.0,1,1,468,1499,550.0,103.0,283.0,120.0,72.0,27,48,0
4.4,1,1,525,999,5.0,0.0,3.0,1.0,1.0,0,0,0
3.6,0,1,219,349,16140.0,1926.0,6538.0,2868.0,2580.0,1442,2712,0
4.5,1,1,899,1499,69.0,5.0,42.0,21.0,5.0,2,0,1
4.2,1,1,1599,1699,1399.0,263.0,884.0,240.0,119.0,36,120,0
4.2,1,1,429,999,366.0,84.0,223.0,67.0,39.0,11,26,1
3.7,0,1,499,799,19.0,1.0,9.0,3.0,2.0,2,3,0
4.2,1,1,246,559,290.0,48.0,157.0,69.0,35.0,14,15,1
4.0,1,1,347,499,4147.0,688.0,2175.0,864.0,538.0,204,366,1
4.0,0,1,302,1799,60.0,11.0,29.0,13.0,9.0,6,3,0
3.4,1,1,315,999,26.0,4.0,9.0,7.0,1.0,3,6,0
4.0,1,1,220,499,656.0,80.0,368.0,105.0,75.0,40,68,0
4.5,1,1,1499,2500,13.0,1.0,11.0,0.0,1.0,0,1,0
4.3,1,1,499,999,96.0,15.0,61.0,20.0,8.0,4,3,1
4.2,0,1,389,999,19.0,2.0,12.0,2.0,3.0,0,2,0
4.0,0,1,236,499,26934.0,2952.0,14756.0,4291.0,3068.0,1693,3126,1
4.0,1,1,295,599,85.0,10.0,46.0,19.0,7.0,3,10,1
4.3,0,1,999,1399,4881.0,943.0,2862.0,1159.0,445.0,169,246,1
3.4,1,1,330,499,307.0,33.0,117.0,50.0,38.0,32,70,0
3.9,0,1,399,999,19.0,1.0,10.0,4.0,1.0,1,3,0
4.1,0,1,1935,4299,219.0,27.0,112.0,61.0,16.0,14,16,1
4.1,0,1,999,1999,199.0,28.0,105.0,52.0,18.0,9,15,1
4.1,0,1,249,890,27.0,3.0,14.0,7.0,2.0,4,0,0
3.6,0,1,599,1299,85.0,10.0,41.0,13.0,6.0,7,18,0
3.9,0,1,300,1500,308.0,44.0,150.0,60.0,10.0,5,9,1
4.1,0,1,999,1999,14.0,1.0,8.0,2.0,2.0,1,1,1
3.9,0,1,299,499,192.0,37.0,103.0,31.0,23.0,14,21,0
4.1,1,1,546,999,654.0,104.0,369.0,125.0,69.0,32,59,0
4.1,0,1,603,1014,214.0,41.0,150.0,48.0,30.0,17,3,1
4.1,1,1,349,999,308.0,27.0,150.0,60.0,22.0,5,15,1
4.7,1,1,4239,5299,12.0,1.0,9.0,2.0,1.0,0,0,1
3.8,1,1,630,998,66.0,13.0,33.0,9.0,11.0,4,9,1
4.3,0,1,399,499,12.0,2.0,8.0,2.0,1.0,0,1,0
4.3,1,1,380,999,350.0,30.0,213.0,71.0,33.0,13,20,1
4.3,0,1,799,1999,55.0,11.0,30.0,17.0,6.0,1,1,1
3.6,1,1,429,999,91.0,14.0,38.0,20.0,9.0,13,14,0
4.0,0,1,398,999,14825.0,1945.0,7950.0,2968.0,1848.0,755,1304,0
3.6,1,1,259,349,211.0,32.0,84.0,47.0,28.0,17,35,0
4.0,1,1,316,999,289.0,42.0,150.0,63.0,29.0,18,29,1
4.1,1,1,1709,2999,10146.0,1398.0,5463.0,2577.0,1003.0,348,755,1
4.3,1,1,549,999,54.0,9.0,32.0,13.0,5.0,2,2,0
3.7,0,1,229,499,336.0,48.0,160.0,46.0,49.0,30,51,0
4.0,0,1,629,699,175.0,26.0,87.0,45.0,17.0,11,15,1
4.6,0,1,1539,2799,23.0,2.0,16.0,4.0,3.0,0,0,1
4.2,0,1,474,999,50.0,5.0,33.0,5.0,6.0,2,4,0
4.1,1,1,749,999,375.0,50.0,177.0,107.0,53.0,16,22,1
4.0,1,1,349,499,1573.0,203.0,785.0,340.0,226.0,92,130,1
3.6,1,1,299,999,2079.0,272.0,836.0,396.0,314.0,194,339,1
3.9,0,1,458,1624,134.0,20.0,6.0,49.0,20.0,5,16,1
4.1,1,1,298,499,229.0,26.0,118.0,55.0,28.0,14,14,1
3.7,1,1,499,999,175.0,33.0,82.0,26.0,24.0,16,27,1
4.3,1,1,3863,4995,37.0,5.0,24.0,6.0,2.0,1,3,1
3.6,1,1,213,249,308.0,44.0,150.0,60.0,466.0,281,476,1
4.7,1,0,599,599,4.0,2.0,0.0,0.0,0.0,30,70,1
3.8,1,1,279,1299,392.0,51.0,208.0,49.0,47.0,22,66,0
4.0,1,1,131,399,375.0,56.0,196.0,69.0,43.0,26,38,0
3.8,1,1,629,999,4.0,1.0,2.0,1.0,0.0,0,1,1
4.2,0,1,989,1299,5228.0,807.0,3011.0,1188.0,512.0,180,337,1
3.9,1,1,499,999,476.0,65.0,218.0,119.0,63.0,33,42,1
3.8,1,1,249,499,4.0,1.0,1.0,2.0,0.0,1,0,0
4.3,1,1,605,1299,415.0,61.0,253.0,89.0,48.0,10,15,0
3.7,0,1,451,510,15280.0,2056.0,7208.0,2435.0,2149.0,1160,2328,1
4.0,1,1,399,1999,1689.0,332.0,894.0,341.0,198.0,84,172,0
4.2,1,1,425,499,282.0,50.0,169.0,57.0,24.0,9,23,0
3.9,1,1,304,1199,111.0,20.0,60.0,17.0,12.0,6,16,0
3.5,0,1,238,999,63.0,7.0,34.0,1.0,5.0,10,13,0
4.3,1,1,397,999,2347.0,390.0,1529.0,376.0,188.0,85,169,0
4.0,0,1,350,499,698.0,82.0,367.0,134.0,92.0,39,66,0
4.0,1,1,995,1990,23.0,5.0,11.0,6.0,3.0,0,3,1
3.7,0,1,499,600,13.0,1.0,7.0,2.0,0.0,1,3,0
4.0,0,1,924,1799,118.0,9.0,61.0,22.0,17.0,8,10,1
2.3,0,1,569,1599,3.0,0.0,1.0,0.0,0.0,0,2,1
4.2,1,1,3900,6495,13.0,1.0,7.0,4.0,1.0,0,1,1
3.7,0,1,499,1999,25.0,6.0,12.0,4.0,3.0,2,4,0
3.8,1,1,442,998,2687.0,405.0,1154.0,596.0,447.0,203,273,1
4.4,0,1,489,699,248.0,23.0,154.0,53.0,29.0,5,7,1
3.8,0,1,599,999,311.0,47.0,170.0,30.0,40.0,24,47,1
4.3,0,1,2999,4999,308.0,44.0,46.0,27.0,5.0,1,5,1
4.1,1,1,704,858,620.0,102.0,245.0,37.0,38.0,31,57,1
3.4,1,0,488,488,5.0,2.0,23.0,23.0,0.0,0,54,0
3.8,1,1,279,499,309.0,55.0,126.0,84.0,37.0,18,42,0
4.0,1,1,199,499,53.0,7.0,31.0,9.0,6.0,4,5,0
4.8,1,1,551,1400,19.0,3.0,9.0,1.0,3.0,1,1,0
4.1,1,1,499,899,2132.0,284.0,1114.0,495.0,266.0,101,153,1
3.8,1,1,479,599,20.0,1.0,8.0,5.0,5.0,0,2,1
4.2,1,1,449,999,620.0,91.0,347.0,132.0,74.0,27,40,1
4.3,0,1,2797,3995,977.0,144.0,608.0,216.0,59.0,29,65,1
4.1,1,1,453,999,181.0,27.0,101.0,40.0,14.0,11,15,1
4.2,0,1,1349,2699,15844.0,2084.0,8679.0,4049.0,1497.0,538,1081,1
4.0,1,1,569,798,2185.0,346.0,1047.0,535.0,293.0,117,193,1
4.0,1,1,403,999,2797.0,388.0,1361.0,672.0,391.0,154,219,0
4.1,0,1,497,599,31709.0,4593.0,16870.0,7710.0,3679.0,1298,2152,1
4.2,0,1,2165,3799,308.0,44.0,150.0,60.0,114.0,38,73,1
3.6,1,1,168,499,41.0,3.0,20.0,5.0,3.0,7,6,0
4.3,1,1,655,999,18.0,6.0,13.0,2.0,1.0,0,2,0
3.8,1,1,399,599,8050.0,1191.0,3528.0,1847.0,1161.0,539,979,0
4.0,1,1,597,799,36.0,4.0,19.0,8.0,4.0,3,4,1
4.1,1,1,437,625,114.0,10.0,62.0,26.0,10.0,4,12,0
4.6,1,1,569,999,145.0,20.0,107.0,25.0,6.0,1,5,0
3.6,0,1,399,999,1638.0,153.0,804.0,179.0,176.0,166,313,1
4.3,1,1,332,999,81.0,22.0,47.0,18.0,6.0,4,4,1
4.8,1,1,449,2397,12.0,1.0,10.0,1.0,1.0,0,0,1
3.4,1,1,420,999,18.0,2.0,8.0,2.0,1.0,4,3,0
4.4,1,1,1259,4199,74.0,4.0,49.0,15.0,5.0,1,4,1
4.2,0,1,1814,3299,646.0,74.0,369.0,157.0,53.0,23,44,1
4.3,1,1,499,999,2539.0,429.0,1619.0,470.0,205.0,84,161,1
4.0,1,1,499,999,54.0,8.0,31.0,9.0,4.0,4,7,1
4.3,1,1,599,999,12.0,4.0,7.0,2.0,2.0,1,0,1
4.1,1,0,322,397,205.0,77.0,9.0,4.0,8.0,23,56,0
4.4,1,1,599,1199,91.0,16.0,54.0,22.0,10.0,3,2,1
4.0,1,1,389,499,7414.0,1245.0,3753.0,1639.0,984.0,378,660,1
4.4,1,1,1011,2092,8.0,2.0,5.0,2.0,3.0,7,2,0
3.6,1,1,383,499,102.0,19.0,38.0,22.0,17.0,9,16,1
3.8,0,1,699,999,46.0,4.0,22.0,7.0,8.0,3,6,0
3.9,0,1,405,999,2432.0,329.0,1268.0,416.0,293.0,146,309,0
4.1,0,1,259,499,3594.0,500.0,1945.0,717.0,453.0,175,304,1
4.1,1,1,571,999,760.0,119.0,401.0,187.0,87.0,38,46,1
4.2,1,1,399,899,1526.0,262.0,933.0,263.0,142.0,66,122,0
4.2,0,1,1047,2299,1215.0,176.0,651.0,345.0,113.0,36,70,1
3.2,0,0,349,399,44.0,12.0,18.0,15.0,21.0,18,28,0
4.1,1,1,699,1699,4324.0,637.0,2393.0,893.0,489.0,219,332,1
4.1,0,1,569,599,3142.0,482.0,1573.0,905.0,374.0,130,160,1
3.9,0,1,426,1399,3569.0,611.0,1954.0,567.0,386.0,205,457,1
4.3,1,1,540,1299,553.0,74.0,338.0,117.0,48.0,11,39,0
4.0,1,1,329,400,403.0,58.0,163.0,86.0,47.0,19,40,0
3.8,1,1,437,999,308.0,2.0,150.0,60.0,5.0,1,0,0
3.4,0,1,399,499,44.0,3.0,16.0,6.0,10.0,4,8,0
4.6,0,1,369,499,15.0,1.0,10.0,4.0,1.0,0,0,1
4.2,1,1,220,499,26.0,2.0,17.0,3.0,2.0,1,3,0
4.1,1,1,299,599,41.0,9.0,19.0,13.0,5.0,3,1,1
4.4,0,1,2699,4499,156.0,19.0,101.0,32.0,9.0,5,9,1
4.3,1,1,1233,2999,353.0,48.0,209.0,95.0,26.0,11,13,1
5.0,0,1,449,749,3.0,1.0,3.0,0.0,0.0,0,0,0
4.8,0,1,569,1499,19.0,1.0,16.0,2.0,1.0,0,0,0
4.0,1,1,331,499,716.0,101.0,376.0,144.0,95.0,40,61,1
4.1,0,1,1689,1899,654.0,102.0,355.0,147.0,62.0,34,56,1
3.4,0,1,284,999,7.0,3.0,1.0,3.0,2.0,0,1,0
4.3,1,1,2025,4499,47.0,7.0,27.0,11.0,6.0,2,1,1
4.1,1,1,479,999,133.0,10.0,71.0,33.0,14.0,5,10,1
3.7,0,1,474,2199,3691.0,427.0,1577.0,813.0,535.0,264,502,0
4.1,1,1,475,999,788.0,122.0,427.0,150.0,102.0,50,59,0
4.0,1,1,1049,3999,26.0,4.0,10.0,12.0,1.0,0,3,1
4.3,1,1,499,999,180.0,34.0,109.0,42.0,17.0,6,6,1
3.9,1,1,599,999,49.0,7.0,26.0,7.0,6.0,4,6,1
3.8,1,1,469,999,38.0,7.0,14.0,13.0,3.0,5,3,0
3.8,1,1,449,549,6.0,0.0,3.0,1.0,0.0,2,0,0
4.0,1,1,199,699,50.0,5.0,24.0,13.0,7.0,1,4,0
4.2,1,1,499,999,89.0,22.0,47.0,18.0,12.0,4,5,0
4.4,1,1,704,1299,333.0,59.0,205.0,80.0,29.0,5,14,1
4.1,0,1,1904,4022,1387.0,151.0,1225.0,522.0,28.0,116,69,1
4.4,1,1,474,999,100.0,21.0,59.0,25.0,7.0,1,4,0
4.1,1,1,319,499,1162.0,133.0,604.0,297.0,128.0,52,81,1
3.6,0,1,499,999,7.0,1.0,4.0,0.0,1.0,0,2,0
4.1,1,1,496,625,368.0,68.0,201.0,79.0,51.0,11,26,1
3.9,1,1,299,850,308.0,44.0,11.0,60.0,2.0,1,3,1
3.8,1,1,280,499,3203.0,412.0,1476.0,614.0,480.0,224,409,1
3.9,0,0,499,599,571.0,290.0,12.0,4.0,12.0,26,46,0
4.2,1,1,233,799,7576.0,1248.0,4314.0,1799.0,794.0,268,401,0
4.1,1,1,682,799,265.0,30.0,137.0,69.0,31.0,14,16,1
4.2,1,1,379,499,485.0,66.0,261.0,118.0,58.0,15,33,1
4.0,1,1,499,1499,156.0,28.0,78.0,37.0,21.0,7,13,0
4.1,0,1,302,309,1117.0,165.0,599.0,271.0,125.0,43,79,1
3.7,1,1,244,499,62.0,10.0,30.0,10.0,5.0,7,10,0
4.0,1,1,399,749,246.0,28.0,128.0,53.0,32.0,6,27,1
4.2,1,1,549,999,195.0,32.0,116.0,25.0,31.0,7,12,1
4.0,0,1,330,850,27.0,3.0,17.0,2.0,2.0,2,4,0
4.1,1,1,222,279,741.0,69.0,434.0,134.0,73.0,32,66,1
4.2,1,1,475,999,571.0,99.0,348.0,99.0,51.0,30,43,1
4.0,0,1,360,999,151.0,10.0,81.0,26.0,22.0,9,13,0
3.8,1,1,449,999,20.0,4.0,5.0,9.0,4.0,0,2,1
3.5,0,1,199,1299,2578.0,315.0,1121.0,365.0,349.0,262,481,1
4.1,0,1,664,999,11594.0,1845.0,5888.0,2964.0,1358.0,510,874,0
4.5,1,1,2387,3999,115.0,14.0,74.0,23.0,5.0,1,6,1
4.3,1,1,589,699,21.0,3.0,13.0,4.0,3.0,0,1,1
4.2,0,1,1768,5895,985.0,141.0,522.0,259.0,104.0,32,68,1
4.0,0,1,238,999,259.0,27.0,150.0,38.0,25.0,18,28,0
3.9,0,1,543,802,1380.0,236.0,851.0,357.0,103.0,101,213,1
4.4,1,1,1049,3699,143.0,25.0,87.0,38.0,11.0,2,5,1
4.0,0,1,415,799,8.0,0.0,5.0,1.0,0.0,1,1,0
3.5,0,1,399,999,2832.0,380.0,1162.0,458.0,396.0,233,583,0
4.1,0,1,909,1299,5740.0,625.0,3171.0,1274.0,535.0,232,528,1
4.1,1,1,1011,2290,249.0,48.0,122.0,67.0,31.0,10,19,0
3.8,0,1,949,2899,3012.0,458.0,1442.0,624.0,381.0,177,388,1
4.7,1,1,599,1199,3.0,0.0,2.0,1.0,0.0,0,0,1
3.9,1,1,299,499,96.0,17.0,53.0,15.0,7.0,6,15,0
4.4,1,1,474,999,308.0,44.0,150.0,60.0,7.0,1,4,0
4.1,1,1,599,999,622.0,102.0,330.0,148.0,74.0,26,42,1
4.0,1,1,349,999,308.0,25.0,150.0,19.0,11.0,3,10,1
4.2,0,1,1500,2999,5117.0,681.0,2814.0,1346.0,480.0,199,278,1
3.8,1,1,141,499,308.0,23.0,71.0,60.0,22.0,14,17,0
4.4,1,1,894,1490,226.0,28.0,141.0,53.0,19.0,4,9,1
4.5,1,1,3883,8999,6.0,0.0,4.0,1.0,1.0,0,0,1
4.2,1,1,664,799,21.0,7.0,14.0,2.0,1.0,3,1,1
4.6,1,1,2650,5299,101.0,15.0,76.0,16.0,4.0,1,4,1
4.0,1,1,299,999,81.0,10.0,41.0,21.0,8.0,3,8,1
4.2,1,1,467,999,2233.0,395.0,1333.0,403.0,231.0,97,157,1
3.8,1,1,245,499,10733.0,1546.0,4769.0,2205.0,1697.0,815,1247,0
3.9,0,1,314,999,133.0,15.0,59.0,31.0,24.0,6,13,0
4.5,1,0,429,454,37.0,19.0,7.0,0.0,7.0,14,72,0
3.7,1,1,455,533,135.0,20.0,58.0,26.0,23.0,8,20,0
4.0,0,1,499,999,60107.0,7501.0,33445.0,9311.0,6841.0,3551,6959,1
3.8,0,1,396,799,33.0,4.0,16.0,6.0,4.0,1,6,0
3.8,1,1,399,499,228.0,24.0,100.0,52.0,38.0,9,29,0
4.1,1,1,449,999,954.0,138.0,496.0,234.0,113.0,56,57,1
4.2,1,1,459,999,972.0,144.0,527.0,232.0,122.0,38,53,0
3.8,0,1,284,799,163.0,20.0,83.0,25.0,23.0,11,21,0
3.3,0,1,699,999,6.0,1.0,2.0,1.0,1.0,1,1,0
4.1,1,1,458,999,4721.0,770.0,2545.0,1002.0,522.0,234,418,0
4.3,1,1,2007,3999,367.0,47.0,206.0,108.0,30.0,6,18,1
4.4,1,1,282,799,67.0,7.0,44.0,11.0,6.0,2,3,0
4.1,0,1,349,375,21054.0,2532.0,11523.0,4995.0,2145.0,894,1497,1
4.1,1,1,649,998,346.0,55.0,182.0,82.0,35.0,19,28,1
4.0,0,0,795,1199,228.0,126.0,10.0,3.0,12.0,25,51,1
4.2,0,1,1499,3499,3742.0,499.0,2154.0,904.0,325.0,122,237,1
3.9,1,1,2579,4695,58.0,10.0,33.0,6.0,8.0,1,10,0
3.9,1,1,149,229,1647.0,274.0,789.0,324.0,239.0,122,173,0
4.0,0,1,479,649,8671.0,1032.0,4665.0,1745.0,855.0,468,938,1
3.8,1,1,290,499,57.0,6.0,26.0,16.0,3.0,2,10,0
4.3,1,1,2267,3999,98.0,13.0,58.0,23.0,9.0,3,5,1
4.2,0,1,1935,4299,790.0,128.0,410.0,221.0,83.0,26,50,1
3.6,0,1,320,999,437.0,62.0,173.0,95.0,62.0,44,63,1
4.3,1,1,613,999,92.0,12.0,54.0,23.0,4.0,7,4,1
4.0,0,1,272,299,23608.0,2750.0,11255.0,6103.0,3008.0,1243,1999,1
4.1,1,1,496,625,368.0,68.0,201.0,79.0,51.0,11,26,1
4.2,1,1,2364,4299,166.0,24.0,94.0,39.0,12.0,6,15,1
4.0,1,1,283,632,845.0,132.0,871.0,34.0,106.0,54,112,0
4.5,1,1,798,799,6.0,0.0,3.0,3.0,0.0,0,0,1
3.9,1,1,849,2499,183.0,28.0,97.0,26.0,23.0,14,23,1
3.9,0,1,554,999,1972.0,254.0,969.0,394.0,256.0,149,204,1
4.4,1,1,639,799,166.0,21.0,95.0,49.0,12.0,2,5,1
4.2,1,1,790,949,3223.0,472.0,1738.0,875.0,324.0,107,179,1
4.0,1,1,498,999,532.0,78.0,259.0,136.0,59.0,38,37,1
4.1,1,1,243,269,749.0,126.0,374.0,205.0,90.0,42,38,1
4.4,1,0,949,949,17.0,10.0,0.0,0.0,9.0,43,48,1
4.2,1,1,249,599,992.0,170.0,559.0,246.0,103.0,41,43,0
4.2,0,1,569,999,236.0,26.0,127.0,58.0,30.0,10,11,1
4.3,0,1,1749,3499,582.0,98.0,369.0,122.0,45.0,14,32,1
4.1,1,1,496,625,368.0,68.0,201.0,79.0,51.0,11,26,1
4.3,1,1,1418,1890,6.0,1.0,3.0,2.0,1.0,0,0,1
4.1,0,1,199,499,137.0,14.0,93.0,8.0,10.0,11,15,0
3.8,0,1,367,999,775.0,75.0,407.0,114.0,89.0,55,110,1
3.3,1,1,399,999,8.0,0.0,3.0,1.0,1.0,1,2,0
3.9,0,1,461,822,1689.0,248.0,422.0,443.0,209.0,232,211,1
4.2,0,1,873,999,5386.0,899.0,2895.0,1345.0,595.0,193,358,1
3.9,1,1,420,999,757.0,107.0,359.0,161.0,103.0,54,74,1
3.7,0,1,616,799,110.0,18.0,54.0,18.0,11.0,4,23,0
3.8,0,1,379,999,780.0,95.0,367.0,156.0,106.0,58,93,0
4.1,0,1,569,699,12689.0,1762.0,6843.0,3150.0,1328.0,469,899,1
4.1,1,1,299,499,134.0,16.0,77.0,27.0,10.0,8,12,0
4.1,0,1,854,1499,2862.0,495.0,1556.0,658.0,283.0,128,237,1
3.9,0,1,474,999,1893.0,248.0,980.0,323.0,250.0,127,213,1
3.6,0,1,329,999,33.0,2.0,15.0,4.0,6.0,2,6,0
3.4,0,1,2058,4810,45.0,6.0,20.0,7.0,4.0,5,16,1
3.8,1,1,261,1299,2011.0,271.0,921.0,425.0,283.0,121,261,0
4.1,1,1,360,599,10451.0,1220.0,5358.0,2796.0,1224.0,461,612,1
4.7,1,1,4785,7995,3.0,1.0,2.0,1.0,0.0,0,0,1
3.8,0,1,449,999,1584.0,163.0,802.0,217.0,202.0,132,231,1
3.9,1,1,379,999,27.0,1.0,12.0,7.0,4.0,1,3,0
4.1,0,1,626,1497,3649.0,705.0,1245.0,651.0,302.0,214,207,0
4.2,1,1,599,1299,179.0,28.0,90.0,62.0,11.0,11,9,1
3.6,0,1,225,670,7.0,0.0,4.0,3.0,2.0,2,5,0
3.8,0,0,348,348,4.0,3.0,0.0,0.0,0.0,30,70,0
4.8,1,1,3574,6499,10.0,0.0,8.0,2.0,0.0,0,0,1
3.9,0,1,989,999,320.0,42.0,155.0,66.0,45.0,15,39,0
4.3,1,1,649,999,181.0,29.0,115.0,31.0,17.0,6,11,1
4.3,1,1,1021,3183,96.0,11.0,51.0,37.0,5.0,5,2,1
4.0,0,1,270,499,3276.0,376.0,1867.0,556.0,343.0,154,356,0
4.2,0,1,949,999,638.0,109.0,332.0,183.0,60.0,24,39,0
3.9,0,1,698,1999,4445.0,529.0,2303.0,709.0,598.0,302,533,1
4.1,1,1,315,599,10896.0,1601.0,5788.0,2378.0,1354.0,564,812,1
3.7,1,1,169,499,605.0,57.0,264.0,109.0,89.0,52,91,0
3.7,1,0,499,499,188.0,74.0,19.0,4.0,11.0,22,44,1
4.0,1,1,483,2032,1689.0,332.0,215.0,393.0,8.0,120,247,0
3.7,1,1,299,999,1664.0,237.0,682.0,339.0,282.0,120,244,1
4.0,0,1,249,599,3150.0,339.0,1778.0,441.0,375.0,195,361,1
4.1,1,1,699,1000,52.0,10.0,25.0,14.0,10.0,0,3,1
3.9,1,1,719,999,926.0,167.0,455.0,185.0,127.0,54,104,0
3.9,1,1,181,499,4988.0,632.0,2410.0,935.0,706.0,381,556,1
4.0,0,1,474,999,21581.0,3053.0,10687.0,5066.0,2876.0,1119,1833,0
4.1,0,1,599,999,856.0,89.0,510.0,124.0,89.0,57,76,1
4.0,0,1,549,1499,353.0,53.0,196.0,54.0,36.0,24,43,0
4.4,1,1,399,599,20.0,3.0,12.0,4.0,2.0,1,0,0
3.9,0,1,547,999,308.0,44.0,150.0,692.0,496.0,205,349,1
4.1,1,1,499,999,63.0,9.0,41.0,5.0,5.0,5,7,1
3.8,0,1,426,999,380.0,52.0,184.0,63.0,49.0,23,61,0
4.7,0,1,780,999,6.0,0.0,4.0,2.0,0.0,0,0,0
3.6,0,1,425,499,359.0,61.0,139.0,65.0,75.0,31,49,0
3.5,1,1,299,899,52.0,12.0,22.0,7.0,6.0,7,10,0
4.4,1,1,1383,1895,98.0,10.0,63.0,22.0,6.0,1,6,1
3.9,1,1,379,1499,308.0,39.0,150.0,36.0,34.0,10,24,1
4.2,1,1,664,999,869.0,156.0,508.0,174.0,87.0,37,63,1
4.0,1,1,385,1017,245.0,32.0,95.0,48.0,26.0,12,10,0
4.5,1,1,3250,6499,10.0,2.0,6.0,1.0,0.0,0,1,1
3.9,0,1,799,1499,2722.0,379.0,1225.0,710.0,382.0,127,278,1
3.8,0,1,649,1498,165.0,17.0,83.0,22.0,28.0,11,21,1
3.5,0,1,451,671,2832.0,380.0,1162.0,458.0,396.0,233,583,1
4.2,0,1,2025,4499,1988.0,364.0,1120.0,493.0,177.0,71,127,1
4.7,1,1,225,599,15.0,4.0,10.0,3.0,1.0,0,0,0
4.1,1,1,774,1290,95.0,14.0,49.0,26.0,6.0,6,8,1
4.1,0,1,1823,2399,308.0,44.0,2859.0,60.0,415.0,210,460,1
4.5,1,1,720,799,31.0,3.0,19.0,11.0,0.0,0,1,1
3.7,0,1,534,999,108.0,12.0,56.0,13.0,14.0,4,21,0
4.7,1,1,499,999,6.0,0.0,4.0,2.0,0.0,0,0,0
4.2,0,0,1350,1799,27.0,13.0,9.0,6.0,6.0,12,66,1
4.3,1,1,2399,3999,83.0,6.0,37.0,36.0,6.0,2,2,1
3.4,1,1,299,649,17.0,3.0,6.0,2.0,3.0,4,2,0
4.2,1,1,399,799,2142.0,277.0,1206.0,521.0,241.0,87,89,0
3.3,1,1,281,499,29.0,3.0,10.0,6.0,4.0,2,7,0
4.2,1,1,549,999,195.0,32.0,120.0,25.0,31.0,7,12,1
4.0,1,1,399,799,1174.0,215.0,607.0,254.0,152.0,55,106,1
3.4,1,1,469,999,5.0,0.0,1.0,2.0,0.0,2,0,1
3.8,0,1,474,999,14915.0,2309.0,6729.0,3177.0,2256.0,1042,1711,1
3.3,1,1,849,899,3.0,0.0,0.0,1.0,2.0,0,0,1
3.9,1,1,386,998,391.0,60.0,189.0,80.0,55.0,27,41,1
